Title,Skills
"Data Scientist","Data Science, Machine Learning, Predictive Modeling, NLP, Artificial Intelligence, Statistical Modeling, Data Analytics, Forecasting, Deep Learning, Python"
"Data Scientist","big data analytics, Machine learning, Data collection, Data analytics, Data mining, big data, Operations, Analytics, SQL, Python"
"Data Scientist","Data Mining, Machine Learning, Statistical modelling, Python, Data Science, Exploratory analysis, Data Analytics, Deep Learning"
"Machine Learning Engineer","advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python"
"Data Scientist","big data analytics, Machine learning, linear regression, Data structures, Natural language processing, Predictive modeling, Pattern recognition, Data mining, SQL, Python"
"Data Scientist","Operations research, Prototype, Coding, Machine learning, Data analytics, Data mining, SQL, Python"
"Data Scientist","Health insurance, Operations research, Analytical, Machine learning, Data analytics, Data mining, Business intelligence, Recruitment, SQL, Python"
"Machine Learning Engineer","Data Engineering, NoSQL, Linux, Nvidia Guardrails, RAG, Data Warehousing, LLM, Data Analytics, SQL, Kubernetes"
"Data Engineer","Data collection, OLAP, Data quality, Data analytics, Informatica, Oracle, Data mining, Pentaho, SQL, Python"
"Data Engineer","Solution architecture, Data management, Data modeling, data governance, Data processing, Data analytics, Pentaho, ETL tool, SDLC, Data architecture"
"Data Engineer","SQL queries, tableau, GCP, Data modeling, Cloud, Agile, power bi, Data analytics, ANSI, Data architecture"
"Data Engineer","query optimization, Cloud, data governance, Data analytics, Informatica, Continuous improvement, SQL, Python, Data architecture"
"Data Analyst","Data Analysis, Data Transformation, Data Enrichment, Data Wrangling, Data Management, Data Extraction, Data Cleansing, Data Mining, Data Mapping, Data Integration, Data Quality, Data Manipulation, Data Profiling, Data Processing, Data Munging, Data Governance, Data Reporting"
"Data Analyst","Data Analysis, Data Processing, Data Transformation, Matplotlib, Data Research, Power Bi, Data Interpretation, Data Cleansing, Data Mining, Data Extraction, Data Collection, Tableau, SQL, R, Data Analytics, Python"
"Data Analyst","Business Intelligence, Power Bi, Tableau, SQL, Data Analytics, Machine Learning, Hive, Presto, R, Azure Cloud, Spark Analytics, Dashboards, Google Cloud Platforms, AWS, Python"
"Data Analyst","Backend, Data analysis, Data management, Data modeling, Machine learning, Healthcare, Predictive modeling, Data analytics, SQL, Python"
"Data Analyst","metadata, python, data analysis, data management, data analytics, configuration, data mining, articulate, data integrity, dashboards, master data management, cleansing, sql, data cleansing, excel, tableau, quality assurance, data visualization, reporting"
"Data Analyst","Data Transformation, Data Analytics, Data Analysis, Data Mining, Data Cleansing, Data Extraction, Data Modeling, Data Processing, Data Mapping"
"Data Analyst","Data Analytics, Data Science, Data Mining, SQL, Python"
"Data Analyst","Data Mining, Data Analytics, Analytical Skills, Data Cleansing, Data Reporting, Analytics"
"Data Analyst","tableau, bi, power bi, business analysis, machine learning, data cleansing, data quality, data analysis, data analytics, business solutions, sql"
"Data Engineer","Python, Azure, NoSQL databases, ETL development, Hadoop, SQL, GCP, Data Engineer, Data Modeling, Data Warehousing, Spark, Data Analytics, AWS"
"Data Engineer","data analytics, information technology, data warehousing, data modeling, etl process, data services, analytics services, azure analytics, microsoft azure, data engineering, nosql, sql, data quality, data governance, etl, data integration"
"Data Engineer","big data administration, hive, python, data analytics, scala, data processing, big data technologies, data warehousing, data architecture, business intelligence, sql, database management, data quality, data modeling, spark, hadoop, sqoop, big data, etl, etl process"
"Machine Learning Engineer","SAN, deep learning, Artificial Intelligence, MySQL, Machine learning, Data analytics, data visualization, Vulnerability management, big data, Python"
"Data Scientist","Computer science, Analytical skills, Data analysis, Usage, Artificial Intelligence, Programming, Manager Technology, Data analytics, Research, Python"
"Data Scientist","data operations, pharmacovigilance, sql, clinical data, sdtm, c++, data analysis, data analytics, data management, sas, medidata rave, data mining, clinical data management, tableau, clinical research, clinical trials, base sas, data visualization, statistics"
"Data Scientist","c#, algorithms, python, modeling, data analysis, data analytics, predictive, microsoft azure, data collection, artificial intelligence, sql server, azure api management, deep learning, mis, product development, data visualization, information systems"
"Data Analyst","Power Bi, Data Analytics, Unica, sql, Unica Campaign, Data Mining, Tableau"
"Data Analyst","data analysis, python, ux, data analytics, data science, saas, machine learning, fintech"
"Data Analyst","master data, metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards, cleansing, sql, data cleansing, excel, tableau, quality assurance, advanced excel, data visualization, reporting"
"Data Analyst","metadata, python, data analysis, data management, data analytics, configuration, data mining, data integrity, dashboards, master data management, cleansing, research, sql, data cleansing, excel, tableau, quality assurance, data visualization, reporting"
"Data Analyst","Business process, Service tax, Billing, Data quality, Data Analyst, Data analytics, Data mining, STM, SQL, Python"
"Data Analyst","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, data integrity, dashboards, master data management, cleansing, sql, data cleansing, excel, tableau, quality assurance, data visualization, reporting"
"Data Analyst","Secondary Data, Database Design Development, Business Data Analyst, Data Collection Systems, Data Analysis, Data Mining, Information Management, Data Analytics, Statistics, Report Writing"
"Data Analyst","python, data analysis, data analytics, documentation, test cases, business analysis, user stories, matrix, data engineering, dashboards, sql, excel, data quality, process mapping, tableau, stakeholder management, data visualization, operational excellence"
"Data Analyst","Data analysis, Statistical analysis, SAS, Data Analyst, Data analytics, Regression analysis, Data mining, Python, professional"
"Data Scientist","Computer science, Data analysis, PDF, data science, data manipulation, Demand forecasting, Machine learning, Programming, data visualization, Python"
"Data Scientist","algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning, data collection, sql, tableau, r, data science, collections, predictive modeling, product development, data visualization, statistics"
"Data Analyst","Mining, Executive leadership, Data analysis, Diagnostics, Coding, data governance, power bi, Data analytics, SQL, Python"
"Machine Learning Engineer","Python, r, data analysis, data analytics, data science, team management, machine learning, sql"
"Data Analyst","data analysis, machine learning, business requirement analysis, statistics, agile methodology, project management, data analytics, bi, business solutions, power bi, business analysis, user stories, sql, tableau, brd, frd, agile, data visualization"
"Data Analyst","Analytical skills, Data analysis, Excel, Business Analyst, Power point presentation, Data analytics, Data mining, Macros"
"Data Engineer","Data Engineering, Object oriented Programming, Columnar DB, AWS, Python, STEP FUNCTIONS, Power Bi, EventBridge, Tableau, Terraform, Redshift Aws, Snowflake, Lambda, Data Analytics Specialty, Denodo, GIT/CICD, implementing, APIs, Devsecops, OLAP, SQL, SAA, Glue, DataOps, Spark, Data Warehousing, ETL"
"Data Engineer","data analytics, information technology, data warehousing, data modeling, etl process, data services, analytics services, azure analytics, microsoft azure, data migration, data engineering, nosql, sql, data quality, data governance, etl, data integration"
"Data Engineer","iics, python, data analytics, datastage, scala, business process automation, data warehousing, pyspark, azure data factory, data pipeline, data engineering, pipeline, bods, data modeling, writing, data ingestion, etl, informatica, communication skills, powercenter"
"Data Analyst","Data Validation, Microsoft Power Bi, Advanced Excel, Power Bi Dashboards, Data Analysis, Countif, Power Bi, Formulas, Conditional Formatting, Data Cleansing, Data Extraction, Pivot Table, SUMIF, Concatenate, Data Manipulation, VLOOKUP, Data Visualization, Data Reporting, Indexing"
"Data Analyst","Power Bi, Data Visualization, Data Analytics, SQL, Python, Data Validation, Snowflake, Data Cleansing"
"Data Analyst","Data Analysis, Data Management, Data Analytics"
"Data Analyst","Data Analysis, Data Science, Excel, Financial Services, Power Bi, Bfsi, NBFC, Alteryx, Banking Sector, Data Visualization, Dashboards, Data Analytics"
"Data Analyst","Mining, Health insurance, Data analysis, HP data protector, Analytical, Consulting, Data analytics, Business strategy, Recruitment, SQL"
"Data Scientist","Numpy, SQL, Pandas, Python, Predictive Modeling, Natural Language Processing, Regression, Machine Learning, Deep Learning, R, data science, Data cleaning, Classification, Data Analytics"
"Data Scientist","Interpersonal skills, GCP, data manipulation, Machine learning, Programming, Healthcare, Deployment, Natural language processing, Python, Data extraction"
"Data Scientist","GCP, Data Analytics, Predictive Modeling, Machine learning algorithms, python, Azure, pyspark, AWS"
"Data Scientist","Cloud Computing, Data Analytics, Machine Learning, Python, NoSQL, AWS"
"Data Analyst","ms dynamics crm, microsoft dynamics, data integration tools, data visualization, crm, python, data analytics, oracle, cdc, spotfire, amazon redshift, business analysis, data architecture, crm application, jquery, sql, plsql, oracle 10g, tableau, java, etl tool, html"
"Data Analyst","Data Analyst, Data Management, Data Analysis, Data Extraction, Data Cleansing, Data Mining, Data Processing, Data Crunching, Data Analytics"
"Machine Learning Engineer","Data analysis, NoSQL, data science, data manipulation, Machine learning, Data processing, Information technology, SQL, Python"
"Data Engineer","Data Ingestion, Data Pipeline, Etl Process, Data Processing, Data Transformation, Data Wrangling, Data Manipulation, Data Extraction, Data Cleansing, Data Transformation Services"
"Data Analyst","Material science, Sales, Excel, data manipulation, Analytical, Machine learning, Manager Technology, Marketing operations, Anova, SQL"
"Data Engineer","hive, cloudera, scala, pyspark, apache pig, iot, sql, analytics, java, spark, mysql, hadoop, big data, programming, hbase, python, big data analytics, oozie, problem solving, data engineering, nosql, mapreduce, written communication, kafka, data structures and algorithms, hdfs, sqoop, aws"
"Data Engineer","information technology, data warehousing, sql, data modeling, etl process, hive, python, data services, data analytics, analytics services, azure analytics, microsoft azure, data engineering, data quality, java, apache nifi, apache, spark, kafka, etl"
"Data Engineer","Linux Server, ETL Tool, Postgresql, Database Management, Data Profiling, SQL Queries, Data Analytics, SQL Scripting, Data Sourcing"
"Data Engineer","data analytics, information technology, data engineering, sql, data modeling, data services, python, analytics services, azure analytics, microsoft azure, data warehousing, data migration, database design, data quality, etl, etl process"
"Data Engineer","data analytics, information technology, data warehousing, data modeling, etl process, python, microsoft azure, project delivery management, data engineering, sql, nosql, data quality, java, technical specifications, aws, etl, nosql databases"
"Data Engineer","data analytics, information technology, data warehousing, data modeling, etl process, python, microsoft azure, project delivery management, data engineering, nosql, sql, data quality, java, technical specifications, aws, etl, nosql databases"
"Data Engineer","data analytics, information technology, data engineering, sql, data modeling, data services, analytics services, test management, azure analytics, microsoft azure, data warehousing, data migration, database design, data quality, etl, etl process"
"Data Analyst","Data Management and Analytics, ETL, SSIS Packages, Maintenance of ETL Jobs, deployment"
"Data Scientist","Data Science, Campaign Analytics, Statistical Data Analysis, Marketing Analytics, Model Development, Banking Analytics, Customer Analytics, Python, SQL"
"Data Analyst","Statistical Modeling, Python, Data Analytics"
"Data Analyst","Business Analytics, Business Intelligence, Business Planning, Data Analysis, Data Analytics, Business Analysis"
"Machine Learning Engineer","Data Engineering, Artificial Intelligence, SQL Server, Machine Learning, Data Science, Tensorflow, Pyspark, Data Wrangling, Hadoop, Data Mining, Deep Learning, Numpy, Hive, Azure Cloud, Pandas, Spark, ERwin, Oracle, Python"
"Data Scientist","Pyspark, Machine Learning, Gcp Cloud, Python, Data Science, Big Data Analytics"
"Data Scientist","Computer science, Excel, data science, data manipulation, Machine learning, Programming, Management, Statistics, SQL, Python"
"Data Scientist","Computer vision, deep learning, Machine learning, Shell scripting, Transformers, Data analytics, Mathematics, Statistics, Python, text analytics"
"Data Scientist","python, data science, big data analytics, predictive modeling, Data Scientist, machine learning, business intelligence, sql, statistics"
"Data Scientist","deep learning, data science, Artificial Intelligence, Data collection, Packaging, Data analytics, Python, Testing"
"Data Scientist","Data Science, AI, LLM, R, generative AI, GCP, Data Analytics, AWS, azure"
"Data Scientist","Machine learning, business rules, Data analytics, data visualization, Research, SQL, Python"
"Data Scientist","SAN, Health insurance, tableau, Data modeling, cassandra, Script writing, big data analytics, Machine learning, Analytics, Python"
"Data Scientist","Logistic regression, Analyst, SAS SQL, data manipulation, Data modeling, R Programming, Machine learning, linear regression, Hypothesis Testing, Python"
"Data Scientist","Training, deep learning, data science, Networking, GCP, big data analytics, Machine learning, cloud storage, Object oriented programming, Python"
"Machine Learning Engineer","Interpersonal skills, GCP, data manipulation, Machine learning, Cloud, Programming, Healthcare, Deployment, Natural language processing, Python"
"Data Engineer","Design, Snowflake, Data Architecture, Python, FIVETRAN, Azure, Data Engineering, Data build tool, Artificial Intelligence, DBT, AWS, Machine Learning"
"Data Scientist","Data management, data science, Analytical, Banking, Manager Technology, Data quality, Data analytics, Financial services, SQL, Recruitment"
"Data Engineer","Data Engineer, Data Engineering, Data analytics, Data Warehousing, ETL, Redshift, SQL, Python"
"Data Engineer","hive, modeling, scala, data warehousing, dbms, data pipeline, sql, java, data modeling, spark, aws cloud microservices, design, reporting, snowflake, python, oracle, data analytics, data processing, airflow, impala, warehouse, data engineering, data quality, aws, presto"
"Data Engineer","Performance Optimization, redshift, AWS, Python, SQL, Data Engineering, Data Analytics"
"Data Engineer","python, aws iam, dynamo db, data manipulation, glue, catalog, airflow, data pipeline, data enrichment, data engineering, sql, data cleansing, scripting, query optimization, apache, data modeling, spark, athena, data transformation, etl, communication skills"
"Data Engineer","snowflake, Azure, python, Data Engineering, sql, Data Ingestion, Data Transformation, Azure Databricks, Data Extraction, Data Cleansing, Azure Data Factory, Data Manipulation, Data Pipeline, Data Processing"
"Data Engineer","SQL queries, GIT, data science, data manipulation, Cloud Services, Social networking, Data processing, Data warehousing, SQL, Python"
"Data Engineer","Hive, Power Bi, Amazon Redshift, Hadoop, Data Warehouse, Spark, Data Warehousing, Data Analytics, Sql, Python"
"Data Engineer","NoSQL, cassandra, Cloud Services, Workflow management, MongoDB, Data analytics, DBMS, Oracle, SQL, Python"
"Data Engineer","data science, Deployment, Data analytics, Taxation"
"Data Engineer","C++, Usage, big data analytics, Analytical, Hadoop, Management, Supervision, SQL, Python, Testing"
"Data Engineer","NoSQL, Enterprise integration, Agile, Incident management, Data quality, Data analytics, Troubleshooting, Data warehousing, SQL, Python"
"Data Engineer","Data modeling, data security, GCP, data manipulation, Social media, Cloud, Data quality, Data warehousing, SQL, Python"
"Data Engineer","Unix, SAN, French, Cloud, cloud storage, Programming, Data analytics, AWS, SQL, Python"
"Data Engineer","Data analytics, Data warehousing, Python"
"Data Engineer","Performance tuning, tableau, Consulting, Database, Deployment, Silicon, Data analytics, Unit testing, Troubleshooting, SLAS"
"Data Engineer","Interpersonal skills, NoSQL, RF, big data analytics, Programming, Online advertising, Business solutions, Open source, Python"
"Data Engineer","Supply chain, Interpersonal skills, Coding, Data analytics, Supervision, Python"
"Data Engineer","Cloud computing, SAAS, Machine learning, Cloud, Transition, Transformers, Data analytics, data visualization, Python"
"Data Engineer","Automation, Data modeling, Database design, OLAP, Data quality, Data analytics, OLTP, Information technology, Monitoring, Python"
"Data Engineer","Automation, Agile, Data analytics, Customer experience, AWS, Software services, SQL, Python"
"Data Engineer","big data analytics"
"Data Analyst","Data Analytics, design and price Insurance, develop innovative, Risk Management"
"Data Analyst","Data Analyst, Python, Data Analysis, Data Analytics, SQL"
"Data Analyst","Data analytics, Data Analyst, Internship"
"Data Analyst","Data Analysis, Energy Management, Energy Audit, Tableau, Data Analytics, Python"
"Data Engineer","python, configuring, data analytics, scala, big data technologies, data warehousing, data pipeline, data engineering, nosql, java, data modeling, spark, design, data visualization, hadoop, big data, aws, etl, programming, etl process, communication skills"
"Data Engineer","Big Data Analytics, Big query, GCP, ETL, PLX"
"Machine Learning Engineer","Unix, advanced analytics, Analyst, Linux, Consulting, Machine learning, Packaging, Silicon, Data analytics, Python"
"Machine Learning Engineer","Computer vision, deep learning, Image processing, Machine learning, Algorithm development, Data processing, Data analytics, Mathematics, Statistics, Python"
"Data Analyst","Supply chain, Customer acquisition, Data management, Business Analyst, Data analytics, Advanced Excel, Business process management, Data mining, Logistics, Quantitative analysis"
"Data Scientist","NoSQL, data science, Agile scrum, Project management, Machine learning, Data analytics, data visualization, Open source, Python"
"Machine Learning Engineer","Health insurance, Networking, data manipulation, Machine learning, Manager Technology, Information retrieval, Statistics, Recruitment, SQL"
"Data Analyst","rpa, design documents, data analytics, business requirements, documentation, business analysis, artificial intelligence, process mapping, data science, solution design, wireframe, feasibility analysis, user acceptance testing, powerpoint, communication skills, ml"
"Data Scientist","Automation, data science, Machine learning, HTML, HTTP, Natural language processing, Data analytics, Business intelligence, Apache, Python"
"Machine Learning Engineer","Training, Automation, Interpersonal skills, Manager Quality Assurance, data manipulation, Consumer finance, Machine learning, Algorithm development, Analytics, Python"
"Data Scientist","Computer vision, Construction, Web technologies, data science, Machine learning, Manager Technology, Wellness, Data analytics, Open source"
"Data Analyst","financial analysis, python, project management, data analysis, data analytics, investment banking, business analysis, teaching, analysis, research, sql, excel, tableau, secondary research, advanced excel, research and development, finance, us mortgage"
"Data Analyst","Data Analytics, Power Bi, SQL"
"Data Analyst","GIT, JPEG, Data Analyst, Data analytics, data visualization, Object oriented programming, SQL, Python"
"Data Analyst","data analysis, Matplotlib, data manipulation, Pandas, Plotly, Advanced Excel, Seaborn, NumPy, Python, SQL"
"Data Analyst","Statistical programming, Analytical skills, Automation, Data analysis, Data migration, Technology management, Excel, Data quality, Data analytics, Python"
"Data Analyst","Data Analysis, Data Analytics, Data Mapping"
"Data Analyst","python, project management, data analysis, data analytics, business requirements, management skills, report generation, process optimization, investment, dashboards, sql, excel, tableau, automation, selenium, mysql, reporting, communication skills"
"Data Analyst","Retail Analytics, Power Bi, Data Visualization, Data Analytics, Data Reporting"
"Data Analyst","Data Analysis, Data Visualization, Data Analytics"
"Data Scientist","Data Analysis, Advanced Excel, Data analytics, Python, SQl, Google Analytics, Adobe Analytics"
"Data Analyst","Data Analyst, ux, data analytics, data analysis, data science"
"Data Analyst","Data Analytics, Strategy, Tableau, Insurance Analytics, SQL, Python"
"Data Analyst","Computer science, Analytical, Data collection, Packaging, Data analytics, Mathematics, Data Analyst, Information technology, Statistics"
"Data Analyst","data analysis, data analytics, forecasting, bi, strong analytical skills, power bi, pivot table, business analysis, vlookup, demand planning, business intelligence, monthly reports, sql, excel, tableau, advanced excel, data visualization, communication skills"
"Data Analyst","SAS, Business analytics, Programming, Data processing, Data analytics, QlikView, data visualization, Stakeholder management, SQL, Python"
"Data Analyst","data science, Focus, Consulting, IT infrastructure, Programming, Data Analyst, Data analytics, Weaving, SQL Azure, Python"
"Data Analyst","Managed services, Excel, Process improvement, Data collection, HTTP, Data analytics, Data Analyst, Powerpoint, Analytics, Python"
"Data Analyst","Data analysis, Excel, Market research, Data analytics, Powerpoint, Marketing research, Predictive analytics, Python, text analytics"
"Data Analyst","Data analysis, Data validation, Data management, Data analytics, Advanced Excel, Data Analyst, data visualization, Management, Macros, SQL"
"Data Analyst","Microstrategy, RDBMS, Data analytics, Data Analyst, data visualization, SQL"
"Data Analyst","Health insurance, Automation, Product engineering, Manager Quality Assurance, Analytical, Data structures, Data analytics, SQL, Business operations, Python"
"Data Scientist","Automation, Data analysis, GIT, Renewable energy, data science, big data analytics, Data analytics, Automotive, SQL, Python"
"Data Analyst","project management, sap, customer engagement, business analysis, marketing cloud, visualforce, data analysis, data analytics, sfdc, triggers, sql, apex, salesforce, salesforce crm, marketing, tableau, data loader, project delivery, segmentation, jira"
"Data Analyst","financial analysis, erp, data analysis, data analytics, presentation skills, business analysis, business analytics, analysis, business intelligence, budgeting, research, sales, sql, excel, tableau, advanced excel, data visualization, powerpoint, communication skills"
"Data Analyst","project management, sap, customer engagement, business analysis, marketing, visualforce, data analysis, data analytics, sfdc, triggers, sql, apex, salesforce, salesforce crm, tableau, data loader, project delivery, segmentation, marketing cloud, jira"
"Data Analyst","data analysis, microsoft dynamics, business analysis, supply chain management, data visualization, project management, data analytics, gap analysis, process design, business solutions, business analytics, user stories, sql, tableau, brd, business consulting, frd"
"Data Analyst","business central, business solutions, microsoft dynamics, business analysis, data visualization, project management, data analysis, data analytics, gap analysis, process design, power bi, user stories, sql, tableau, brd, business consulting, requirement analysis"
"Other","Data analysis, Automation, Excel, Data management, Analytical, Data analytics, data visualization, Macros, Analytics, MIS Executive"
"Data Engineer","Linux, Artificial Intelligence, Machine learning, Data Architect, Data processing, Server Maintenance, Operations, SQL DBA, Python, Business operations"
"Data Analyst","Analyst, Data analysis, Consultancy, HR, Data analytics, Analytics, Technical support"
"Data Analyst","Risk advisory, Data analysis, Senior Analyst, Risk assessment, compliance monitoring, Data analytics, Client interaction, Risk management, Auditing, Risk mitigation"
"Data Scientist","Automation, Data analysis, Data migration, Coding, Machine learning, Data quality, Data mining, Forecasting, SQL, Python"
"Data Scientist","Data Science, Business Analytics, Data Analytics, Statistics, Deep Learning"
"Data Analyst","Data Analytics, bi tools, R, Business Analytics, power bi, SQL, Python"
"Data Analyst","Merchandising, Data Analytics, Business Analytics"
"Other","Data Management, MIS Reporting, Data Validation, MIS Preparation, Mis Report Preparation, VLOOKUP, MIS Operations, Mis Analysis, Data Visualization, Data Cleansing, Advanced Excel, Data Analytics"
"Data Analyst","Data Transformation, Data Management, Data Extraction, Analytical, Data Reporting, Data Enrichment, Data Interpretation, Data Cleansing, Data Collection, Data Mapping, Data Compilation, Data Manipulation, Data Visualization, Data Crunching, Data Sourcing"
"Data Analyst","Data Analytics, MIS Reporting"
"Data Analyst","Data Analytics, Power Bi, Data Analysis, Advanced Excel, SQL"
"Data Analyst","business process modeling, project management, data analytics, modeling, data analysis, kpi, gap analysis, documentation, business analysis, process improvement, user stories, analytics, requirements management, requirement gathering, use cases, brd, fsd, options, frd, reporting"
"Data Analyst","microsoft azure, gcp, scrum, business technology, aws, cbap, cspo, project management, python, data analysis, data analytics, business analysis, business analytics, user stories, sql, business requirement analysis, tableau, lean, kanban, data structures, agile, jira"
"Data Analyst","microsoft power bi, project management, bi, business analysis, talent development, session management, product support, data analysis, data analytics, power bi, training, sql, talent management, tableau, lms, pmo, ohsas 18001, quality assurance, data visualization"
"Data Analyst","project management, business solutions, microsoft dynamics, business analysis, javascript, data analysis, data analytics, gap analysis, business analytics, user stories, sql, brd, business consulting, frd, scrum, agile, requirement analysis, agile methodology, jira"
"Data Analyst","documentation, system validation, business analysis, computer system validation, gxp, advanced analytics, project management, data analysis, data analytics, software testing, sql, tableau, quality assurance, data visualization, agile, requirement analysis, jira"
"Data Analyst","project management, data analysis, data analytics, business analysis, sql, tableau, excellent verbal and written communication skills, presentation skills, content writing, power bi, data visualization, user stories"
"Data Analyst","documentation, system validation, business analysis, computer system validation, gxp, advanced analytics, project management, data analysis, data analytics, data validation, power bi, sql, tableau, data visualization, agile, requirement analysis, jira"
"Data Analyst","data management, documentation, business analysis, computer system validation, gxp, advanced analytics, project management, oq, data analysis, data analytics, software testing, gap analysis, power bi, sql, tableau, quality assurance, data visualization, agile, jira"
"Data Scientist","Data Science, Artificial Intelligence, Machine Learning, Python, SQL"
"Data Analyst","csv, business analysis, asp.net, computer system validation, gxp, advanced analytics, project management, oq, data analysis, data analytics, data validation, documentation, power bi, gamp, sql, tableau, quality assurance, data visualization, agile, jira"
"Data Analyst","electronic medical record, project management, information technology, data integration tools, data visualization, python, data analysis, data analytics, oracle, process design, business analysis, emr, jquery, sql, tableau, java, html, agile, business architecture"
"Data Analyst","python, project management, data analysis, data analytics, business requirements, management skills, business analysis, process optimization, investment, transformation, dashboards, sql, excel, tableau, selenium, brd, frd, mysql, reporting, communication skills"
"Data Analyst","Data Analyst, Advanced Excel, Excel, Business Analytics, Data Manipulation, Data Analysis, Data Cleansing, Data Processing, Bussiness Analysis, Data Mapping, SQl"
"Data Analyst","Business Analytics, SQL, Insights, Business Acumen, Data Analysis, Advanced Excel, Business Insights, Advanced Ms Excel, Data Analytics, Python, Predictive Analytics"
"Data Analyst","business solutions, business analysis, sap ewm, brd, sap mm, project management, data analysis, data analytics, gap analysis, power bi, business analytics, user stories, sql, tableau, business consulting, frd, scrum, agile, requirement analysis, agile methodology"
"Data Analyst","Business analysis, python, project management, data analysis, data analytics, sas, bi, spss, power bi, business analytics, dashboards, sql server, sql, qlikview, data studio, bi tools, r, tableau, spark, data visualization, agile, quantitative analysis, jira"
"Data Analyst","Data analysis, Excel, Chemical, Business Analyst, Mechanical, power bi, Data analytics"
"Other","Computer science, Report generation, Data analysis, Data management, VLOOKUP, Analytical, IT infrastructure, Data analytics, Information technology, SQL"
